coach_id,coach_name,seasons,coach_career_span,g,wins,losses,ties,win_loss_perc,wins_over_500,years_playoffs,g_playoffs,wins_playoffs,losses_playoffs,win_loss_playoffs_perc,rank_avg,rank_best,championships,championships_super_bowl,championships_conference
140,John Fox,13,2002-2014,208,119,89,0,.572,30,7,15,8,7,.533,2.0,1,0,0,2
141,Leslie Frazier,4,2010-2013,54,21,32,1,.398,-11,1,1,0,1,.000,3.5,2,,,
142,Benny Friedman,2,1930-1932,14,5,9,0,.357,-4,0,0,0,0,,4.0,2,0,0,0
143,Chan Gailey,5,1998-2012,80,34,46,0,.425,-12,2,2,0,2,.000,3.0,1,0,0,0
144,Frank Gansz,2,1987-1988,31,8,22,1,.274,-14,0,0,0,0,,5.0,5,0,0,0
145,Budge Garrett,1,1922,6,2,1,3,.667,1,0,0,0,0,,11.0,11,0,0,0
146,Jason Garrett,5,2010-2014,72,41,31,0,.569,10,1,2,1,1,.500,2.4,1,,,
147,Mike Getto,1,1942,11,3,8,0,.273,-5,0,0,0,0,,4.0,4,0,0,0
148,Joe Gibbs,16,1981-2007,248,154,94,0,.621,60,10,24,17,7,.708,2.4,1,3,3,4
149,Abe Gibron,3,1972-1974,42,11,30,1,.274,-19,0,0,0,0,,4.0,4,0,0,0
150,George Gibson,1,1930,14,3,10,1,.231,-7,0,0,0,0,,9.5,9,0,0,0
151,Kevin Gilbride,2,1997-1998,22,6,16,0,.273,-10,0,0,0,0,,5.0,5,0,0,0
152,Fred Gillies,1,1928,6,1,5,0,.167,-4,0,0,0,0,,9.0,9,0,0,0
153,Sid Gillman,18,1955-1974,228,122,99,7,.552,23,6,6,1,5,.167,2.6,1,1,0,0
154,Hank Gillo,1,1920,7,2,5,0,.286,-3,0,0,0,0,,11.0,11,0,0,0
155,Harry Gilmer,2,1965-1966,28,10,16,2,.385,-6,0,0,0,0,,6.0,6,0,0,0
156,Jerry Glanville,9,1985-1993,129,60,69,0,.465,-9,4,7,3,4,.429,3.0,2,0,0,0
157,Archie Golembeski,1,1925,12,6,5,1,.545,1,0,0,0,0,,10.0,10,0,0,0
158,Otto Graham,3,1966-1968,42,17,22,3,.436,-5,0,0,0,0,,3.7,3,0,0,0
159,Bud Grant,18,1967-1985,259,158,96,5,.621,62,12,22,10,12,.455,1.9,1,0,0,4
160,Dennis Green,13,1992-2006,207,113,94,0,.546,19,8,12,4,8,.333,2.5,1,0,0,0
161,Forrest Gregg,11,1975-1987,161,75,85,1,.469,-10,2,4,2,2,.500,2.8,1,0,0,1
162,Hal Griffen,1,1930,14,5,6,3,.455,-1,0,0,0,0,,7.0,7,0,0,0
163,Tex Grigg,1,1925,7,0,6,1,.000,-6,0,0,0,0,,16.0,16,0,0,0
164,Al Groh,1,2000,16,9,7,0,.563,2,0,0,0,0,,3.0,3,,,
165,Jay Gruden,1,2014,16,4,12,0,.250,-8,0,0,0,0,,4.0,4,,,
166,Jon Gruden,11,1998-2008,176,95,81,0,.540,14,5,9,5,4,.556,2.3,1,1,1,1
